tema,sentimiento,texto,tipo
saludo,3,un saludo desde mexico,comentario
saludo,3,hola cómo te llamas,pregunta
saludo,3,como estás,pregunta
comida,3,¿Cuál es tu película favorita?,pregunta
saludo,3,que haces,pregunta
musica,3,qué música te gusta,pregunta
musica,3,Me encantan las canciones de Daft Punk.,comentario
pelicula,3,¿Cuál es tu película favorita?,pregunta
pelicula,3,cuál es tu actor favorito,pregunta
viajes,3,¿Dónde te gustaría ir de vacaciones?,pregunta
pelicula,3,"Mi actor favorito es Rutger Hauer en ""Blade Runner"".",comentario
saludo,3,"Muy bien, ¿en qué puedo ayudarte?",pregunta
saludo,3,cuéntame algo,comentario
viaje,3,Jay dijo que yo le referí a una guía que le mostrará habitaciones en China.,comentario
pelicula,3,recomiendame una película,pregunta
saludo,3,hola,comentario
variado,3,¿Crees que las máquinas son inteligentes?,pregunta
variado,3,¿Crees que las máquinas pueden pensar?,pregunta
variado,3,¿Cuál es tu mejor recuerdo de infancia?,pregunta
musica,3,james bond y el tuyo,comentario
pelicula,3,la niñez cuál es tu película favorita,comentario
pelicula,3,Me estás preguntando sobre mi película ?,pregunta
pelicula,3,"Mi actor favorito es Arnold Schwarzenegger en ""Terminator""",comentario
musica,3,y tu música favorita,pregunta
musica,3,Me encantan las canciones de Daft Punk.,comentario
saludo,3,cómo te llamas,pregunta
saludo,3,Encantado para ayudarte en todo lo que pueda.,comentario
variado,3,¿Cuál es tu deporte favorito?,pregunta
variado,3,Electra dijo que me visto no existirá después de cortar en I con un código de borrado.,comentario
musica,3,qué música te gusta,pregunta
pelicula,3,y qué películas te gustan,pregunta
pelicula,3,"Mi película favorita es ""Blade Runner"".",comentario
variado,3,¿Sabías que los esquimales pueden diferenciar hasta 12 tonos distintos de blancos?,pregunta
pelicula,3,"Mi actor favorito es Arnold Schwarzenegger en ""Terminator"".",comentario
pelicula,3,Mi película favorita es Terminator La has visto?,pregunta
saludo,3,"Hola, ¿cómo va todo? Muy bien, ¿en qué puedo ayudarte?",pregunta
viaje,3,¿Dónde fuiste de vacaciones la última vez?,pregunta
viaje,3,a la playa,comentario
variado,3,Trabajo las 24 horas del día para ofrecerte el mejor servicio posible.,comentario
viaje,3,¿Dónde te gustaría ir de vacaciones?,pregunta
musica,3,qué música te gusta,pregunta
variado,3,¿Crees que hay vida después de la muerte?,pregunta
pelicula,3,y películas,pregunta
pelicula,3,A mi me encanta el cine.,comentario
pelicula,3,"Mi actor favorito es Peter Weller en ""Robocop"".",comentario
variado,3,¿Cuál es tu deporte favorito?,pregunta
variado,3,cuál es tu deporte favorito,pregunta
variado,3,Me gustan los deportes personales como el patinaje.,comentario
saludo,3,"Cuentame, ¿Que hay de nuevo?",pregunta
variado,3,dime algún invento innovador,pregunta
variado,3,¿Quieres algo en especial?,pregunta
variado,3,inteligencia artificial,pregunta
variado,3,La Inteligencia Artificial es una rama de investigación que engloba varias áreas.,comentario
variado,3,un robot es inteligente,pregunta
color,3,¿Cuál es tu color favorito?,pregunta
color,3,cuál es tu color favorito,pregunta
variado,3,cuántos años tienes tú,pregunta
variado,3,"Tengo 2 años, ¿y tú?",pregunta
variado,3,qué deporte prácticas,pregunta
